Formula,Sites,Energy above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Bulk Modulus Voigt,Bulk Modulus Reuss,Bulk Modulus VRH,Shear Modulus Voigt,Shear Modulus Reuss,Shear Modulus VRH
Br,32,0.1135854646875,0.1135854646875,False,2607.4616238076983,1.628357171478946,1.4606,,,,,,
Br,4,0.0,0.0,True,132.8423775658678,3.995222488751897,1.687399999999999,,,,,,
Br,4,0.0,0.0,True,157.36604023502463,3.372613643437797,1.3261999999999992,6.809,1.411,4.11,5.233,0.558,2.895
Br,1,0.629577425,0.629577425,False,26.416069722567364,5.022840830263788,0.0,24.142,24.142,24.142,-32.045,11.852,-10.096
Br,1,0.6662806450000001,0.6662806450000001,False,25.82587127313477,5.13762777543269,0.0,28.537,28.537,28.537,-20.372,-20.259,-20.315
Br,1,0.083918205,0.083918205,False,31.67578476371924,4.188805883337718,0.0,,,,,,
C,4,0.438411504999999,0.438411504999999,False,26.04482741480699,3.063062968693546,0.0,350.007,273.122,311.565,293.213,137.9,215.557
C,4,0.335081674999999,0.335081674999999,False,23.652961076240057,3.372810115535493,2.243399999999999,402.314,400.654,401.484,427.585,414.981,421.283
C,4,1.306076984999999,1.306076984999999,False,34.66149298647901,2.301601561462735,0.0,255.04,255.04,255.04,-175.87,-109.074,-142.472
C,2,0.01760497,0.01760497,False,93.59765350418738,0.426169585419898,0.0001,,,,,,
C,2,2.6181942174999997,2.6181942174999997,False,17.175787899184765,2.322366427920791,0.0,,,,,,
C,8,0.267769908749999,0.267769908749999,False,46.09687601307967,3.461273443244769,3.3272999999999997,,,,,,
C,8,0.300915499999998,0.300915499999998,False,46.956268326840615,3.397925313187996,3.4876,,,,,,
C,12,1.123357330833332,1.123357330833332,False,124.721088142976,1.9189284082140832,0.371799999999999,162.128,136.002,149.065,93.785,35.767,64.776
C,12,0.998754169166666,0.998754169166666,False,143.39979768854366,1.6689761282700162,2.5933,,,,,,
C,71,0.117870220528169,0.117870220528168,False,1422.2052503465602,0.99566556789566,0.0,,,,,,
C,2,2.607661687499999,2.607661687499999,False,26.299025652493786,1.516728175303045,0.0,,,,,,
C,120,0.388692925583333,0.388692925583332,False,1372.9198654254635,1.743225115813743,0.9669,,,,,,
C,2,2.636820752499999,2.636820752499999,False,17.15336182787517,2.325402658115325,0.0,,,,,,
C,8,1.002409142499999,1.002409142499999,False,115.84184934146724,1.377342416990445,0.0,,,,,,
C,80,1.529662770124998,1.529662770124999,False,1477.9733965207647,1.079545092869862,0.260699999999999,,,,,,
C,20,0.765223488999998,0.765223488999998,False,139.28259963239,2.86385185912906,0.0,,,,,,
C,16,0.292670106874998,0.292670106874998,False,93.64372173589788,3.407679442955229,4.3295,,,,,,
C,29,1.920290190431034,1.920290190431034,False,360.0918883190208,1.606209081679817,0.066799999999999,,,,,,
C,240,0.385036085500001,0.3850360855,False,2921.5700683338546,1.638371379382439,1.3517,,,,,,
C,52,1.601080180192307,1.601080180192307,False,1020.61768295853,1.01614965158914,0.5989,,,,,,
C,80,1.4104997176249991,1.4104997176249991,False,1547.5694249833691,1.030996672490697,0.0797,,,,,,
C,120,0.6993028923333331,0.6993028923333321,False,1132.0312099509297,2.114171738704126,0.106,,,,,,
C,20,1.168639082,1.168639081999999,False,456.3630321976748,0.874051366476088,4.1977,,,,,,
C,100,0.994252947699998,0.9942529476999992,False,1190.3531919217503,1.6754889834737798,0.106,,,,,,
C,100,0.9345966745999992,0.9345966746,False,1126.924922787448,1.769792839947614,0.0724,,,,,,
C,100,1.014946403599999,1.014946403599999,False,1118.1801735623271,1.783633538371421,0.0,,,,,,
C,2,0.000790625,0.000790625,False,18.305440952101463,2.179050113817426,0.094599999999999,227.227,4.166,115.697,158.934,1.234,80.084
C,2,0.01291443,0.01291443,False,38.11517595100074,1.046524702953852,1.621,,,,,,
C,8,0.8349742562499991,0.8349742562499991,False,44.317265955971735,3.600264802416577,2.407,387.827,387.827,387.827,510.932,510.551,510.742
C,4,0.002317152499999,0.002317152499999,False,37.48177786494673,2.128419486070265,1.4276,223.074,3.566,113.32,176.477,-0.904,87.786
